,month,WAG_C_M
0,01.01.1993,15.3
1,01.02.1993,19.1
2,01.03.1993,23.6
3,01.04.1993,30.6
4,01.05.1993,37.5
5,01.06.1993,47.4
6,01.07.1993,56.0
7,01.08.1993,65.4
8,01.09.1993,80.9
9,01.10.1993,93.0
10,01.11.1993,101.5
11,01.12.1993,141.2
12,01.01.1994,134.2
13,01.02.1994,144.7
14,01.03.1994,164.8
15,01.04.1994,171.5
16,01.05.1994,183.5
17,01.06.1994,207.5
18,01.07.1994,221.0
19,01.08.1994,232.8
20,01.09.1994,253.2
21,01.10.1994,265.0
22,01.11.1994,281.6
23,01.12.1994,354.2
24,01.01.1995,302.6
25,01.02.1995,321.0
26,01.03.1995,361.5
27,01.04.1995,386.2
28,01.05.1995,429.9
29,01.06.1995,480.6
30,01.07.1995,499.5
31,01.08.1995,520.6
32,01.09.1995,564.5
33,01.10.1995,594.5
34,01.11.1995,615.7
35,01.12.1995,735.5
36,01.01.1996,654.8
37,01.02.1996,684.4
38,01.03.1996,745.0
39,01.04.1996,746.5
40,01.05.1996,779.3
41,01.06.1996,837.2
42,01.07.1996,842.8
43,01.08.1996,831.0
44,01.09.1996,848.1
45,01.10.1996,843.3
46,01.11.1996,835.0
47,01.12.1996,1017.0
48,01.01.1997,812.0
49,01.02.1997,821.0
50,01.03.1997,903.0
51,01.04.1997,901.0
52,01.05.1997,920.0
53,01.06.1997,993.2
54,01.07.1997,999.1
55,01.08.1997,982.3
56,01.09.1997,1026.2
57,01.10.1997,1006.1
58,01.11.1997,997.8
59,01.12.1997,1214.8
60,01.01.1998,988.0
61,01.02.1998,1000.0
62,01.03.1998,1059.0
63,01.04.1998,1040.0
64,01.05.1998,1047.0
65,01.06.1998,1122.0
66,01.07.1998,1110.0
67,01.08.1998,1052.0
68,01.09.1998,1112.0
69,01.10.1998,1123.0
70,01.11.1998,1164.0
71,01.12.1998,1482.0
72,01.01.1999,1167.0
73,01.02.1999,1199.0
74,01.03.1999,1385.0
75,01.04.1999,1423.0
76,01.05.1999,1472.0
77,01.06.1999,1626.0
78,01.07.1999,1618.0
79,01.08.1999,1608.0
80,01.09.1999,1684.0
81,01.10.1999,1716.0
82,01.11.1999,1789.0
83,01.12.1999,2283.0
84,01.01.2000,1830.0
85,01.02.2000,1839.0
86,01.03.2000,2018.0
87,01.04.2000,2039.0
88,01.05.2000,2101.0
89,01.06.2000,2294.0
90,01.07.2000,2302.0
91,01.08.2000,2289.0
92,01.09.2000,2367.0
93,01.10.2000,2425.0
94,01.11.2000,2508.0
95,01.12.2000,3025.0
96,01.01.2001,2733.0
97,01.02.2001,2655.0
98,01.03.2001,2964.0
99,01.04.2001,2923.0
100,01.05.2001,3054.0
101,01.06.2001,3284.0
102,01.07.2001,3364.0
103,01.08.2001,3376.0
104,01.09.2001,3405.0
105,01.10.2001,3515.0
106,01.11.2001,3578.0
107,01.12.2001,4541.0
108,01.01.2002,3760.0
109,01.02.2002,3725.0
110,01.03.2002,4031.0
111,01.04.2002,4110.0
112,01.05.2002,4187.0
113,01.06.2002,4460.0
114,01.07.2002,4597.0
115,01.08.2002,4511.0
116,01.09.2002,4521.0
117,01.10.2002,4646.0
118,01.11.2002,4694.0
119,01.12.2002,5738.0
120,01.01.2003,4696.0
121,01.02.2003,4701.0
122,01.03.2003,4986.0
123,01.04.2003,5100.0
124,01.05.2003,5221.0
125,01.06.2003,5550.0
126,01.07.2003,5615.0
127,01.08.2003,5491.0
128,01.09.2003,5556.0
129,01.10.2003,5864.0
130,01.11.2003,5990.0
131,01.12.2003,7344.0
132,01.01.2004,5932.0
133,01.02.2004,6141.0
134,01.03.2004,6428.0
135,01.04.2004,6448.0
136,01.05.2004,6524.0
137,01.06.2004,7003.0
138,01.07.2004,6982.0
139,01.08.2004,6873.0
140,01.09.2004,6918.0
141,01.10.2004,6908.0
142,01.11.2004,7046.0
143,01.12.2004,8799.0
144,01.01.2005,7346.0
145,01.02.2005,7465.0
146,01.03.2005,8093.0
147,01.04.2005,8002.0
148,01.05.2005,8089.0
149,01.06.2005,8637.0
150,01.07.2005,8651.0
151,01.08.2005,8616.0
152,01.09.2005,8829.0
153,01.10.2005,8701.0
154,01.11.2005,8931.0
155,01.12.2005,11319.0
156,01.01.2006,9016.0
157,01.02.2006,9255.0
158,01.03.2006,9914.0
159,01.04.2006,9833.0
160,01.05.2006,10257.0
161,01.06.2006,11106.0
162,01.07.2006,10883.0
163,01.08.2006,10853.0
164,01.09.2006,11127.0
165,01.10.2006,11046.0
166,01.11.2006,11303.0
167,01.12.2006,14263.0
168,01.01.2007,11430.0
169,01.02.2007,11757.0
170,01.03.2007,12448.0
171,01.04.2007,12494.0
172,01.05.2007,12787.0
173,01.06.2007,13712.0
174,01.07.2007,13546.0
175,01.08.2007,13270.0
176,01.09.2007,13677.0
177,01.10.2007,13986.0
178,01.11.2007,14656.0
179,01.12.2007,18591.0
180,01.01.2008,14771.0
181,01.02.2008,15354.0
182,01.03.2008,16172.0
183,01.04.2008,16538.0
184,01.05.2008,16643.0
185,01.06.2008,17715.0
186,01.07.2008,17758.0
187,01.08.2008,17244.0
188,01.09.2008,17739.0
189,01.10.2008,17643.0
190,01.11.2008,17598.0
191,01.12.2008,21681.0
192,01.01.2009,17119.0
193,01.02.2009,17098.0
194,01.03.2009,18129.0
195,01.04.2009,18009.0
196,01.05.2009,18007.0
197,01.06.2009,19247.0
198,01.07.2009,18872.0
199,01.08.2009,18335.0
200,01.09.2009,18838.0
201,01.10.2009,18798.0
202,01.11.2009,19215.0
203,01.12.2009,23827.0
204,01.01.2010,18938.0
205,01.02.2010,19017.0
206,01.03.2010,20589.0
207,01.04.2010,20358.0
208,01.05.2010,20279.0
209,01.06.2010,21795.0
210,01.07.2010,21325.0
211,01.08.2010,20753.0
212,01.09.2010,20999.0
213,01.10.2010,20970.0
214,01.11.2010,21486.0
215,01.12.2010,28027.0
216,01.01.2011,20669.0
217,01.02.2011,20680.0
218,01.03.2011,22673.0
219,01.04.2011,22519.0
220,01.05.2011,22779.0
221,01.06.2011,24137.0
222,01.07.2011,23598.0
223,01.08.2011,23051.0
224,01.09.2011,23468.0
225,01.10.2011,23602.0
226,01.11.2011,24296.0
227,01.12.2011,32809.0
228,01.01.2012,23746.0
229,01.02.2012,24036.0
230,01.03.2012,25487.0
231,01.04.2012,25800.0
232,01.05.2012,26385.0
233,01.06.2012,27494.0
234,01.07.2012,26684.0
235,01.08.2012,25718.0
236,01.09.2012,25996.0
237,01.10.2012,26803.0
238,01.11.2012,27448.0
239,01.12.2012,36450.0
240,01.01.2013,26840.0
241,01.02.2013,26620.0
242,01.03.2013,28693.0
243,01.04.2013,30026.0
244,01.05.2013,29723.0
245,01.06.2013,30986.0
246,01.07.2013,30229.0
247,01.08.2013,29226.0
248,01.09.2013,29346.0
249,01.10.2013,30069.0
250,01.11.2013,30290.0
251,01.12.2013,39648.0
252,01.01.2014,29535.0
253,01.02.2014,29255.0
254,01.03.2014,31486.0
255,01.04.2014,32947.0
256,01.05.2014,32272.0
257,01.06.2014,33726.0
258,01.07.2014,32515.0
259,01.08.2014,30763.0
260,01.09.2014,31929.0
261,01.10.2014,32439.0
262,01.11.2014,32546.0
263,01.12.2014,42136.0
264,01.01.2015,30929.0
265,01.02.2015,31325.0
266,01.03.2015,32642.0
267,01.04.2015,34377.0
268,01.05.2015,34380.0
269,01.06.2015,35395.0
270,01.07.2015,33901.0
271,01.08.2015,32176.0
272,01.09.2015,32911.0
273,01.10.2015,33357.0
274,01.11.2015,33347.0
275,01.12.2015,43408.0
276,01.01.2016,32660.0
277,01.02.2016,33873.0
278,01.03.2016,35501.0
279,01.04.2016,36497.0
280,01.05.2016,37270.0
281,01.06.2016,38447.0
282,01.07.2016,35888.0
283,01.08.2016,34095.0
